T [K] (0.01),C [m/s] (0.01),T [K] (0.1),C [m/s] (0.1),T [K] (1.0),C [m/s] (1.0),T [K] (10.0),C [m/s] (10.0),T [K] (100.0),C [m/s] (100.0)
273.16,1402.3,273.16,1402.4,273.16,1403.9,273.16,1418.4,273.16,1575.5
283.16,1447.2,283.16,1447.3,283.16,1448.8,293.16,1498.8,283.16,1615.7
293.16,1482.2,293.16,1482.4,293.16,1483.9,313.16,1546.1,293.16,1649
303.16,1509,303.16,1509.2,303.16,1510.7,333.16,1569.2,303.16,1675.6
313.16,1528.8,313.16,1528.9,313.16,1530.5,353.16,1573.9,313.16,1696.5
318.96,1537.4,323.16,1542.6,323.16,1544.2,373.16,1564.1,323.16,1712.1
318.96,440.51,333.16,1551,333.16,1552.6,393.16,1542.5,333.16,1723.3
323.16,443.64,343.16,1554.7,343.16,1556.5,413.16,1510.6,343.16,1730.6
333.16,450.68,353.16,1554.4,353.16,1556.2,433.16,1469.6,353.16,1734.5
343.16,457.45,363.16,1550.4,363.16,1552.3,453.16,1420,363.16,1735.3
353.16,464.06,372.76,1543.5,373.16,1545.1,473.16,1362.1,373.16,1733.5
363.16,470.53,372.76,471.99,383.16,1534.8,493.16,1295.9,383.16,1729.3
373.16,476.88,373.16,472.28,393.16,1521.8,513.16,1220.9,393.16,1722.8
383.16,483.12,383.16,479.23,403.16,1506.1,533.16,1135.8,403.16,1714.4
393.16,489.25,393.16,485.88,413.16,1487.8,553.16,1038.1,413.16,1704.2
403.16,495.29,403.16,492.32,423.16,1467.2,573.16,922.64,423.16,1692.3
413.16,501.23,413.16,498.6,433.16,1444.3,584.15,847.33,433.16,1678.8
423.16,507.08,423.16,504.74,443.16,1419.1,584.15,472.51,443.16,1663.8
433.16,512.84,433.16,510.74,453.03,1392,593.16,491.64,453.16,1647.5
443.16,518.53,443.16,516.63,453.03,501.02,613.16,522.19,463.16,1630
453.16,524.14,453.16,522.42,453.16,501.14,633.16,545.5,473.16,1611.2
463.16,529.67,463.16,528.1,463.16,509.77,653.16,564.99,483.16,1591.4
473.16,535.14,473.16,533.7,473.16,517.39,673.16,582.01,493.16,1570.5
483.16,540.53,483.16,539.21,483.16,524.49,693.16,597.29,503.16,1548.7
493.16,545.86,493.16,544.64,493.16,531.26,713.16,611.28,513.16,1525.9
503.16,551.12,503.16,550,503.16,537.77,733.16,624.27,523.16,1502.4
513.16,556.32,513.16,555.28,513.16,544.06,753.16,636.46,533.16,1478.1
523.16,561.47,523.16,560.5,523.16,550.15,773.16,647.99,543.16,1453
533.16,566.55,533.16,565.65,533.16,556.09,793.16,658.97,553.16,1427.3
543.16,571.58,543.16,570.74,543.16,561.87,813.16,669.48,563.16,1401.1
553.16,576.56,553.16,575.77,553.16,567.53,833.16,679.58,573.16,1374.3
563.16,581.48,563.16,580.75,563.16,573.06,853.16,689.33,583.16,1347.1
